City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Pemberton,CA,49.73,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
501,Huichapan,MX,57.29,broken clouds,20.3833,-99.65,Hotel Boutique Casa Bixi
502,Bulgan,MN,47.73,few clouds,48.8125,103.5347,Unitel Булган салбар
504,Villa Carlos Paz,AR,62.38,overcast clouds,-31.4241,-64.4978,Monte Carlo vcp
506,Mercedes,AR,63.64,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
510,Yambio,SS,67.98,broken clouds,4.5721,28.3955,Naivasha Hotel
514,Ulaangom,MN,49.3,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
515,Swan Hill,AU,56.97,broken clouds,-35.3378,143.5544,Lazy River Motor Inn
516,Marsa Matruh,EG,72.34,clear sky,31.3525,27.2453,Beau Site
517,Hualmay,PE,61.38,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
520,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
521,Soyo,AO,72.93,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
526,Sioux Lookout,CA,50.07,mist,50.1001,-91.917,Knobby's Fly-In Camps
527,Guerrero Negro,MX,69.17,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
528,Pisco,PE,58.3,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
529,Queenstown,ZA,64.15,broken clouds,-31.8976,26.8753,Courtyard Lodging
530,Codrington,AU,52.72,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
531,Vodnyy,RU,50.32,scattered clouds,63.5046,53.4095,Каменка
532,Tukrah,LY,74.34,clear sky,32.5341,20.5791,Lagrota restaurant
534,Hamilton,US,68.77,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
535,Vanderhoof,CA,43.86,broken clouds,54.0166,-124.0198,Vanderhoof Inn
