City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Sao Sebastiao,BR,-23.76,-45.4097,62.89,85,87,3.89,overcast clouds
217,Catamarca,AR,-28.4696,-65.7852,65.59,30,77,15.19,broken clouds
218,Mocuba,MZ,-16.8392,36.9856,72.05,69,0,4.23,clear sky
219,Tilichiki,RU,60.4667,166.1,45.7,59,79,16.64,broken clouds
220,Avarua,CK,-21.2078,-159.775,75.25,73,20,14.97,few clouds
221,Talnakh,RU,69.4865,88.3972,34.21,75,90,5.35,overcast clouds
222,La Ronge,CA,55.1001,-105.2842,57.45,67,75,8.05,broken clouds
223,Vostok,RU,46.4856,135.8833,53.04,99,100,3.44,overcast clouds
224,Iringa,TZ,-7.7667,35.7,59.9,68,15,3.38,few clouds
225,Gravdal,NO,68.1214,13.5031,51.12,78,99,8.01,overcast clouds
226,Gobabis,NA,-22.45,18.9667,59.77,20,4,5.06,clear sky
227,La Rioja,ES,42.25,-2.5,53.38,89,52,3.69,broken clouds
228,Riacho De Santana,BR,-13.6092,-42.9389,71.71,46,3,5.75,clear sky
229,Dillon,US,34.4166,-79.3712,67.1,71,0,3.47,clear sky
230,Avera,US,33.194,-82.5271,67.51,70,0,6.13,clear sky
231,Rudnichnyy,RU,59.617,52.4703,51.58,76,67,8.28,broken clouds
232,Salalah,OM,17.0151,54.0924,82.08,78,94,6.62,overcast clouds
233,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,78.73,78,0,0.0,clear sky
234,Marquelia,MX,16.5833,-98.8167,77.54,88,100,0.74,overcast clouds
235,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,75,12.66,light rain
236,Grindavik,IS,63.8424,-22.4338,46.35,100,75,1.14,broken clouds
237,Luderitz,NA,-26.6481,15.1594,59.07,75,54,14.14,broken clouds
238,Virginia Beach,US,36.8529,-75.978,66.02,72,0,0.0,clear sky
239,Patan,NP,27.6667,85.3333,75.58,78,75,8.05,broken clouds
240,Dikson,RU,73.5069,80.5464,34.95,76,22,6.62,few clouds
241,Labrea,BR,-7.2586,-64.7981,74.73,68,36,0.51,scattered clouds
242,Ponta Do Sol,PT,32.6667,-17.1,74.71,73,21,9.42,few clouds
243,Kedrovyy,RU,56.1667,91.8167,48.87,52,98,2.95,overcast clouds
244,Nara,JP,34.6851,135.8049,83.57,61,100,13.18,heavy intensity rain
245,Baykit,RU,61.67,96.37,49.23,55,82,7.81,broken clouds
246,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,20,9.26,few clouds
247,Hami,CN,42.8,93.45,77.47,11,0,2.13,clear sky
248,Santa Marta,CO,11.2408,-74.199,83.89,80,75,4.61,broken clouds
249,Nador,MA,35.174,-2.9287,66.45,72,0,1.14,clear sky
250,Fairbanks,US,64.8378,-147.7164,55.4,66,20,0.0,few clouds
251,Namibe,AO,-15.1961,12.1522,64.98,90,64,3.29,broken clouds
252,Bairiki,KI,1.3292,172.9752,86.0,66,20,10.36,few clouds
253,La Asuncion,VE,11.0333,-63.8628,80.28,84,94,5.73,overcast clouds
254,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,65,0,3.44,clear sky
255,Marstal,DK,54.8562,10.5173,55.31,72,87,21.85,overcast clouds
256,Aklavik,CA,68.2191,-135.0107,37.13,95,84,7.29,broken clouds
257,Puerto Narino,CO,-3.7703,-70.3831,72.7,85,98,2.13,overcast clouds
258,Klaksvik,FO,62.2266,-6.589,49.12,76,100,9.04,overcast clouds
259,Ryotsu,JP,38.0833,138.4333,81.25,58,100,3.51,overcast clouds
260,Sao Joao Da Barra,BR,-21.6403,-41.0511,63.46,89,100,9.6,overcast clouds
261,San Andres,CO,12.5847,-81.7006,82.98,79,100,13.09,overcast clouds
262,Sibolga,ID,1.7427,98.7792,84.47,67,66,6.2,broken clouds
263,Camana,PE,-16.6228,-72.7111,60.24,84,4,5.88,clear sky
264,Maraa,BR,-1.8333,-65.3667,73.42,94,99,2.13,overcast clouds
265,Harper,LR,4.375,-7.7169,75.99,84,97,9.13,light rain
